output,ground_truth,label
FALSE,TRUE,0
FALSE,TRUE,0
TRUE,TRUE,1
FALSE,TRUE,0
9,3765,0
15,61,0
12321,1243,0
0,0,1
The Daily Mail,ING España,0
English,es,1
Andrew Sullivan,juan prin,0
reply,reply,1
"['Elon Musk', 'Elon Musk', 'Elon Musk']","['Lavincompae', '#NI UNA MENOS \xa0__xa0__xa0__', 'SFC The World']",0
"['english', 'english', 'english', 'english', 'english']","['es', 'es', 'es', 'es', 'es']",1
"['author2', 'author1', 'author3', 'author4']","['Correctorada', 'El Joker', 'Xenia Viladas', 'DrJaus \xa0____']",0
"['video', 'link', 'photo', 'link', 'video', 'video']","['reply', 'original']",0
"[14, 21, 12, 18, 9]","[0, 0, 0, 0, 3]",0
"[1029, 1029, 1029]","[61, 60, 59]",0
"[0, 0, 0, 0]","[0, 0, 1, 0]",0
"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0
TRUE,TRUE,1
TRUE,TRUE,1
FALSE,FALSE,1
TRUE,TRUE,1
18,20,0
97,1125,0
1052,160,0
16.4547,80.94,0
Bug,Poison,0
Snorlax,Shuckle,0
Dragon,Flying,0
"Alakazam, Psychic",Mega Mewtwo Y (Psychic),1
"['Mewtwo', 'Arceus', 'Groudon']","['Eternamax Eternatus', 'Mega Mewtwo X', 'Mega Mewtwo Y']",0
"['Castform', 'Silcoon', 'Bayleef', 'Wobbuffet', 'Cleffa']","['Shedinja', 'Diglett', 'Alolan Diglett', 'Magikarp', 'Pichu']",0
"['Water', 'Fire', 'Grass', 'Electric']","['Water', 'Normal', 'Grass', 'Bug']",0
"['Typhlosion', 'Suicune', 'Lugia', 'Entei', 'Heracross', 'Houndoom']","['Mega Heracross', 'Mega Tyranitar', 'Mega Scizor', 'Tyranitar', 'Scizor', 'Ursaring']",0
"[10.0, 10.0, 10.0, 10.0, 10.0]","[250, 230, 200, 160, 160]",0
"['Magikarp', 'Girafarig', 'Sunkern']","[20, 31, 50]",0
"[0.0, 0.0, 0.0, 0.0]","[135, 127, 125, 125]",0
"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[175, 180, 180, 185, 190, 194]",0
TRUE,TRUE,1
FALSE,FALSE,1
FALSE,FALSE,1
TRUE,TRUE,1
TRUE,0.782633618,0
13,1002,0
5,0.37321404,0
0,0.03536414,0
Entrepreneur,Policy Officer,0
Teacher,Governor,0
Actor,Mortgage Banker,0
Entrepreneur,Program Manager,0
