output,ground_truth,label
,TRUE,0
,TRUE,0
,TRUE,0
,TRUE,0
,3765,0
,61,0
,1243,0
,0,0
,ING España,0
,es,0
,juan prin,0
,reply,0
,"['Lavincompae', '#NI UNA MENOS \xa0♐\xa0✊\xa0🚺', 'SFC The World']",0
,"['es', 'es', 'es', 'es', 'es']",0
,"['Correctorada', 'El Joker', 'Xenia Viladas', 'DrJaus \xa0🇪🇸']",0
,"['reply', 'original']",0
,"[0, 0, 0, 0, 3]",0
,"[61, 60, 59]",0
,"[0, 0, 1, 0]",0
,"[1, 1, 1, 1, 1, 1]",0
,TRUE,0
,TRUE,0
,FALSE,0
,TRUE,0
,20,0
,1125,0
,160,0
,80.94,0
,Poison,0
,Shuckle,0
,Flying,0
,Mega Mewtwo Y (Psychic),0
,"['Eternamax Eternatus', 'Mega Mewtwo X', 'Mega Mewtwo Y']",0
,"['Shedinja', 'Diglett', 'Alolan Diglett', 'Magikarp', 'Pichu']",0
,"['Water', 'Normal', 'Grass', 'Bug']",0
,"['Mega Heracross', 'Mega Tyranitar', 'Mega Scizor', 'Tyranitar', 'Scizor', 'Ursaring']",0
,"[250, 230, 200, 160, 160]",0
,"[20, 31, 50]",0
,"[135, 127, 125, 125]",0
,"[175, 180, 180, 185, 190, 194]",0
,TRUE,0
,FALSE,0
,FALSE,0
,TRUE,0
,0.782633618,0
,1002,0
,0.37321404,0
,0.03536414,0
,Policy Officer,0
,Governor,0
,Mortgage Banker,0
,Program Manager,0
,"['Book Publisher', 'Bureau Chief', 'Publisher']",0
,"['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",0
,"['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",0
,"['U.S. Senator', 'Congressman']",0
,"[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",0
,"[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",0
,"[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",0
,"[0.0353641396193574, 0.0355792960526332, 0.0399752446723049, 0.0573280662585624, 0.0591099063085338, 0.0592781792571762]",0
,FALSE,0
,FALSE,0
,TRUE,0
,TRUE,0
,3574,0
,14.7459746,0
,100,0
,8848,0
,Massachusetts Institute of Technology,0
,B2,0
,en,0
,"member, portion, body, end",0
,"['International Business Machines Corporation', 'Samsung Electronics Co., Ltd.', 'Google Inc.']",0
,"['utility', 'design', 'plant', 'reissue']",0
,"['B2', 'S1', 'B1', 'P2', 'P3']",0
,"['habit, plant, foliage, flowers', 'soybean, plant, cultivar, soybean cultivar']",0
,"[20, 1, 18, 19]",0
,"[9479771.0, 9325365.0, 9323284.0]",0
,"[29, 30, 46, 51, 70]",0
,"[9479476.0, 9479477.0, 9479478.0, 9479479.0, 9479480.0, 9479481.0]",0
,TRUE,0
,FALSE,0
,FALSE,0
,TRUE,0
,0.782633618,0
0,1002,0
134883,0.37321404,0
,0.03536414,0
,Policy Officer,0
,Governor,0
,Mortgage Banker,0
,Program Manager,0
,"['Book Publisher', 'Bureau Chief', 'Publisher']",0
,"['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",0
,"['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",0
,"['U.S. Senator', 'Congressman']",0
,"[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",0
"| user_favourites_count | 
| --- | 
| 20 | 
| 20 | 
| 20 | 
| 20 |","[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",0
,"[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",0
"64712 (68810) 
59915","[0.0353641396193574, 0.0355792960526332]",0
,FALSE,0
,FALSE,0
,FALSE,0
,FALSE,0
,18424,0
,367,0
,72,0
,113,0
,Radio/TV,0
,Skilled,0
,Existing Credits Paid Back Duly Till Now,0
,Less than 100 DM,0
,"['Highly Skilled', 'Skilled', 'Highly Skilled']",0
,"['Skilled', 'Skilled', 'Skilled', 'Unskilled - Resident']",0
,"['Skilled', 'Skilled', 'Unskilled - Resident', 'Highly Skilled', 'Skilled']",0
,"['Highly Skilled', 'Highly Skilled']",0
,"[18424, 15945, 15857]",0
,"[72, 60, 60, 60]",0
,"[4, 4, 4, 4, 4]",0
,"[75, 75]",0
"Yes, there are a few entries with zero calories in the table: 

0.01, 0.64, 0.01, 0.43",FALSE,0
"Yes, all foods contain some amount of sugar, even if they are not typically considered sweet. The table shows that even foods with very low amounts of sugar have values greater than zero.",FALSE,0
"Yes, according to the table, the following foods contain no fat at all:

* 0.0 (value appears 3 times in the list)",TRUE,1
"Yes, here are some examples of foods that are very low in or contain no protein:

| Food | Protein (g) |
| --- | --- |
| Sugar | 0 |
| Salt | 0 |
| Honey | 0 |
| Maple syrup | 0 |
| Corn syrup | 0 |
| Fruits (e.g. apples, bananas) | 0.5-1.5 g |
| Vegetables (e.g. lettuce, tomatoes) | 0.5-1.5 g |
| Legumes (e.g. beans, lentils) | 1-3 g (note: some legumes are high in protein, but not all) |
| Oils (e.g. olive oil, coconut oil) | 0 |
| Wine | 0 |
| Beer | 0 |
| Bread (e.g. white bread, whole wheat bread) | 0.5-1.5 g |
| Pasta (e.g. spaghetti, linguine) | 0.5-1.5 g |
| Rice (e.g. white rice, brown rice) | 0.5-1.5 g |

Note: The protein content of these foods may vary depending on the specific type, brand",TRUE,1
"According to the table, 4 foods have more than 500 kcal:

1. 5.67 (Index 24)
2. 4.97 (Index 45)
3. 5.18 (Index 46)
4. 8.98 (Index 39)",0,0
The average amount of total fat is: 0.056,0.08465,0
3,18,0
0.258,0.2748,0
"Based on the table, the food with the highest calorie content is:

* Hamburger: 8.98 kcal",bacon,0
"Based on the table, the food that contains the most sugar is 'custard flan' with 0.4868g of sugar.",honey,0
"Based on the table, the food with the least amount of total fat is:

Cake, with 0.0g of Total Fat",honey,0
"The food with the highest amount of protein is:

Hamburger (0.2748 g)",beef,0
"Based on the table, the top 5 foods with the most calories are:

1. Peanuts (5.67 kcal)
2. Hamburger (8.98 kcal)
3. Pizza (4.97 kcal)
4. Burrito (4.97 kcal)
5. Beer (4.16 kcal)","['bacon', 'peanuts', 'chocolate bar', 'popcorn', 'cookie']",0
"Based on the data, here are the top 3 foods with the least amount of sugar:

| Rank | Food | Sugar (g) |
| --- | --- | --- |
| 1 | Bacon | 0.0 |
| 2 | Beef | 0.0 |
| 3 | Chicken | 0.0 |

These three foods have the least amount of sugar according to the data.","['chestnut', 'pancakes', 'cheese']",0
"Here are the 4 foods with the most total fat:

1. Chestnut (0.4924g)
2. Fried Shrimp (0.995g)
3. Popcorn (0.281g)
4. Bacon (0.3099g)","['bacon', 'peanuts', 'cheese', 'popcorn']",0
"Here are the 6 foods with the least amount of protein based on the data:

1. Honey (0.0007 g)
2. Red wine (0.0007 g)
3. Sake (0.0007 g)
4. Beer (0.0 g)
5. Chocolate bar (0.0 g)
6. Cucumber (0.002 g)","['candy', 'black tea', 'bacon', 'champagne', 'red wine', 'red apple']",0
