output,ground_truth,label
TRUE,TRUE,1
FALSE,TRUE,0
TRUE,TRUE,1
TRUE,TRUE,1
1168,3765,0
,61,0
0,1243,0
15305,0,0
El chico,ING España,0
es,es,1
,juan prin,0
reply,reply,1
"['TrueFalseFalse', 'TrueFalseTrue', 'TrueFalseFalse']","['Lavincompae', '#NI UNA MENOS \xa0♐\xa0✊\xa0🚺', 'SFC The World']",0
"['de', 'de', 'de', 'de', 'de']","['es', 'es', 'es', 'es', 'es']",0
,"['Correctorada', 'El Joker', 'Xenia Viladas', 'DrJaus \xa0🇪🇸']",0
"['original', 'reply']","['reply', 'original']",1
"[1, 0, 0, 0]","[0, 0, 0, 0, 3]",0
,"[61, 60, 59]",0
"[0, 0, 0, 0]","[0, 0, 1, 0]",0
,"[1, 1, 1, 1, 1, 1]",0
TRUE,TRUE,1
TRUE,TRUE,1
FALSE,FALSE,1
TRUE,TRUE,1
20,20,1
641,1125,0
100,160,0
82.9,80.94,0
Water,Poison,0
Magikarp,Shuckle,0
Steel,Flying,0
,Mega Mewtwo Y (Psychic),0
"['Gigantamax Mewtwo', 'Mewtwo', 'Gigantamax Mew']","['Eternamax Eternatus', 'Mega Mewtwo X', 'Mega Mewtwo Y']",0
"['Giratina', 'Giratina-Origin', 'Giratina-Altered', 'Froslass', 'Shaymin']","['Shedinja', 'Diglett', 'Alolan Diglett', 'Magikarp', 'Pichu']",0
"['Normal', 'Grass', 'Fire', 'Water']","['Water', 'Normal', 'Grass', 'Bug']",0
,"['Mega Heracross', 'Mega Tyranitar', 'Mega Scizor', 'Tyranitar', 'Scizor', 'Ursaring']",0
"[130, 130, 130, 130, 130]","[250, 230, 200, 160, 160]",0
"[69, 70, 70]","[20, 31, 50]",0
"[150, 150, 150, 150]","[135, 127, 125, 125]",0
"[180, 197, 188, 192, 198, 201]","[175, 180, 180, 185, 190, 194]",0
,TRUE,0
,FALSE,0
,FALSE,0
,TRUE,0
0.743221693,0.782633618,0
16,1002,0
,0.37321404,0
0,0.03536414,0
,Policy Officer,0
,Governor,0
,Mortgage Banker,0
Account Director,Program Manager,0
,"['Book Publisher', 'Bureau Chief', 'Publisher']",0
,"['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",0
,"['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",0
,"['U.S. Senator', 'Congressman']",0
"[0.6923537533346314, 0","[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",0
"[0.19878348951013345, 0.20551751113315858, 0","[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",0
"[0.8375492543254273, 0.8292624325703221, 0","[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",0
"['Weak', 'Medium-","[0.0353641396193574, 0.0355792960526332, 0.0399752446723049, 0.0573280662585624, 0.0591099063085338, 0.0592781792571762]",0
,FALSE,0
TRUE,FALSE,0
,TRUE,0
TRUE,TRUE,1
1171,3574,0
5,14.7459746,0
381,100,0
101,8848,0
,Massachusetts Institute of Technology,0
B2,B2,1
en,en,1
"network, message, packet, service","member, portion, body, end",0
"[Microsoft Corporation, Apple Inc., Intel Corporation]","['International Business Machines Corporation', 'Samsung Electronics Co., Ltd.', 'Google Inc.']",0
"['utility', 'utility', 'utility', 'utility']","['utility', 'design', 'plant', 'reissue']",0
"['B2', 'B1', 'B2', 'B1', 'B2']","['B2', 'S1', 'B1', 'P2', 'P3']",0
"['signal, frequency, station, transmission', 'image, light, pixel, lens']","['habit, plant, foliage, flowers', 'soybean, plant, cultivar, soybean cultivar']",0
"[1, 2, 3, 4]","[20, 1, 18, 19]",0
,"[9479771.0, 9325365.0, 9323284.0]",0
,"[29, 30, 46, 51, 70]",0
,"[9479476.0, 9479477.0, 9479478.0, 9479479.0, 9479480.0, 9479481.0]",0
,TRUE,0
,FALSE,0
,FALSE,0
,TRUE,0
30308052,0.782633618,0
2,1002,0
20274,0.37321404,0
8,0.03536414,0
Donald Trump,Policy Officer,0
Barack Obama,Governor,0
,Mortgage Banker,0
Donald J. Trump,Program Manager,0
"['Barack Obama', 'Barack Obama', 'Joe Biden']","['Book Publisher', 'Bureau Chief', 'Publisher']",0
"['Joe Biden', 'Pete Buttigieg', 'Kamala Harris', 'Donald Trump']","['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",0
