output,ground_truth,label
TRUE,TRUE,1
TRUE,TRUE,1
TRUE,TRUE,1
TRUE,TRUE,1
3765,3765,1
387,61,0
1243,1243,1
0,0,1
ING España,ING España,1
es,es,1
INGdigno1999,juan prin,0
reply,reply,1
"['ING España', 'Emilio Cubo Ruiz', 'INGdigno1999']","['Lavincompae', '#NI UNA MENOS \xa0♐\xa0✊\xa0🚺', 'SFC The World']",0
"['de', 'fr', 'it', 'hu', 'pt']","['es', 'es', 'es', 'es', 'es']",0
"['ING España', 'ING España', 'ING España', 'ING España']","['Correctorada', 'El Joker', 'Xenia Viladas', 'DrJaus \xa0🇪🇸']",0
"['reply', 'original', 'status', 'photo', 'video', 'video']","['reply', 'original']",1
"['9', '6', '4', '3', '2']","[0, 0, 0, 0, 3]",0
"[387, 362, 357]","[61, 60, 59]",0
"[0, 0, 0, 0]","[0, 0, 1, 0]",0
"[4, 4, 5, 5, 6, 6]","[1, 1, 1, 1, 1, 1]",0
TRUE,TRUE,1
TRUE,TRUE,1
FALSE,FALSE,1
TRUE,TRUE,1
20,20,1
780,1125,0
160,160,1
80.93843284,80.94,1
Ground,Poison,0
Victreebel,Shuckle,0
type2,Flying,0
"['Aromatisse', 'Fairy']",Mega Mewtwo Y (Psychic),0
"['Mega Mewtwo X', 'Mega Mewtwo Y', 'Mega Rayquaza']","['Eternamax Eternatus', 'Mega Mewtwo X', 'Mega Mewtwo Y']",0
"['True', 'True', 'False', 'False', 'False']","['Shedinja', 'Diglett', 'Alolan Diglett', 'Magikarp', 'Pichu']",0
"['Grass', 'Fire', 'Water', 'Normal']","['Water', 'Normal', 'Grass', 'Bug']",0
"['Mega Ampharos', 'Qwilfish', 'Sneasel', 'Kingdra', 'Stantler', 'Hitmontop']","['Mega Heracross', 'Mega Tyranitar', 'Mega Scizor', 'Tyranitar', 'Scizor', 'Ursaring']",1
"[99, 98, 98, 98, 98]","[250, 230, 200, 160, 160]",0
"['Meowth', 'Giratina', 'Dialga']","[20, 31, 50]",0
"[95, 95, 95, 95]","[135, 127, 125, 125]",0
"[1, 1, 1, 1, 1, 1]","[175, 180, 180, 185, 190, 194]",0
TRUE,TRUE,1
TRUE,FALSE,0
FALSE,FALSE,1
TRUE,TRUE,1
0.782633618,0.782633618,1
1002,1002,1
5.191454124,0.37321404,0
2,0.03536414,0
Policy Officer,Policy Officer,1
Governor,Governor,1
Mortgage Banker,Mortgage Banker,1
Principal,Program Manager,0
"['Book Publisher', 'Bureau Chief', 'Publisher']","['Book Publisher', 'Bureau Chief', 'Publisher']",1
"[Data Scientist, IT Manager, DevOps Engineer, Product Owner]","['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",0
"['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']","['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",1
"['U.S. Senator', 'Congressman']","['U.S. Senator', 'Congressman']",1
"[0.755724998595985, 0.741318918762879, 0.703452805364018]","[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",1
"[0.165238156966406, 0.200542806432412, 0.221554611685525, 0.250679167849994]","[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",1
"[0.979436592280923, 0.972366065603067, 0.954299437125917, 0.936298945398536, 0.930791706758329]","[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",1
"[0.0353641396193574, 0.0355792960526332, 0.0399752446723049, 0.0573280662585625, 0.0591099063085339,","[0.0353641396193574, 0.0355792960526332, 0.0399752446723049, 0.0573280662585624, 0.0591099063085338, 0.0592781792571762]",1
TRUE,FALSE,0
TRUE,FALSE,0
TRUE,TRUE,1
TRUE,TRUE,1
3574,3574,1
14.746,14.7459746,1
96,100,0
8848,8848,1
Incase Designs Corp.,Massachusetts Institute of Technology,0
B2,B2,1
en,en,1
"member, portion, body, end","member, portion, body, end",1
"[None, 'International Business Machines Corporation', 'Samsung Electronics Co., Ltd.']","['International Business Machines Corporation', 'Samsung Electronics Co., Ltd.', 'Google Inc.']",1
"['utility', 'design', 'plant', 'reissue']","['utility', 'design', 'plant', 'reissue']",1
"['B2', 'S1', 'B1', 'P2', 'P3']","['B2', 'S1', 'B1', 'P2', 'P3']",1
